entity_id,type,debit,credit,amount,currency,fee,tax,on_hold,settled,created_at,settled_at,settlement_id,description,notes,payment_id,settlement_utr,order_id,order_receipt,method,card_network,card_issuer,card_type,dispute_id,channel_type,balance_account_id
ent_3103_p06_05,payment,0,77000,77000,INR,0,0,false,true,2026-08-29T22:30:00Z,2026-08-30T06:30:00Z,set_3103_p06,Synthetic customer payment,,ent_3103_p06_05,UTR3103P06A,ord_3103_p06_05,receipt_3103_05,card,synthetic_network,synthetic_issuer,debit,,online,ba_01
ent_3103_p04_10,refund,1250,0,1250,INR,0,0,false,true,2026-08-30T18:30:00Z,2026-08-31T02:30:00Z,set_3103_p04,Synthetic refund movement,,ent_3103_p00_00,UTR3103P04A,,,,,,,,,ba_01
ent_3103_p02_03,payment,0,57800,57800,INR,0,0,false,true,2026-08-29T22:30:00Z,2026-08-30T06:30:00Z,set_3103_p02,Synthetic customer payment,,ent_3103_p02_03,UTR3103P02A,ord_3103_p02_03,receipt_3103_03,card,synthetic_network,synthetic_issuer,debit,,online,ba_01
ent_3103_p05_03,payment,0,23700,23700,INR,0,0,false,true,2026-08-30T00:30:00Z,2026-08-30T08:30:00Z,set_3103_p05,Synthetic customer payment,,ent_3103_p05_03,UTR3103P05A,ord_3103_p05_03,receipt_3103_03,card,synthetic_network,synthetic_issuer,debit,,online,ba_02
ent_3103_p06_06,payment,0,46500,46500,INR,0,0,false,true,2026-08-29T22:30:00Z,2026-08-30T06:30:00Z,set_3103_p06,Synthetic customer payment,,ent_3103_p06_06,UTR3103P06A,ord_3103_p06_06,receipt_3103_06,card,synthetic_network,synthetic_issuer,debit,,online,ba_01
ent_3103_p09_01,payment,0,29400,29400,INR,0,0,false,true,2026-08-29T20:30:00Z,2026-08-30T04:30:00Z,set_3103_p09,Synthetic customer payment,,ent_3103_p09_01,UTR3103P09A,ord_3103_p09_01,receipt_3103_01,card,synthetic_network,synthetic_issuer,debit,,online,ba_02
ent_3103_p03_07,payment,0,62900,62900,INR,0,0,false,true,2026-08-30T08:30:00Z,2026-08-30T16:30:00Z,set_3103_p03,Synthetic customer payment,,ent_3103_p03_07,UTR3103P03A,ord_3103_p03_07,receipt_3103_07,card,synthetic_network,synthetic_issuer,debit,,online,ba_02
ent_3103_p06_01,payment,0,69100,69100,INR,0,0,false,true,2026-08-29T22:30:00Z,2026-08-30T06:30:00Z,set_3103_p06,Synthetic customer payment,,ent_3103_p06_01,UTR3103P06A,ord_3103_p06_01,receipt_3103_01,card,synthetic_network,synthetic_issuer,debit,,online,ba_01
ent_3103_p09_03,payment,0,82100,82100,INR,0,0,false,true,2026-08-29T20:30:00Z,2026-08-30T04:30:00Z,set_3103_p09,Synthetic customer payment,,ent_3103_p09_03,UTR3103P09A,ord_3103_p09_03,receipt_3103_03,card,synthetic_network,synthetic_issuer,debit,,online,ba_02
ent_3103_p03_03,payment,0,83800,83800,INR,0,0,false,true,2026-08-30T08:30:00Z,2026-08-30T16:30:00Z,set_3103_p03,Synthetic customer payment,,ent_3103_p03_03,UTR3103P03A,ord_3103_p03_03,receipt_3103_03,card,synthetic_network,synthetic_issuer,debit,,online,ba_02
