entity_id,type,debit,credit,amount,currency,fee,tax,on_hold,settled,created_at,settled_at,settlement_id,description,notes,payment_id,settlement_utr,order_id,order_receipt,method,card_network,card_issuer,card_type,dispute_id,channel_type,balance_account_id
ent_3101_p02_01,payment,0,39700,39700,INR,0,0,false,true,2026-08-29T22:30:00Z,2026-08-30T06:30:00Z,set_3101_p02,Synthetic customer payment,,ent_3101_p02_01,UTR3101P02A,ord_3101_p02_01,receipt_3101_01,card,synthetic_network,synthetic_issuer,debit,,online,ba_01
ent_3101_p03_00,payment,0,70000,70000,INR,450,81,false,true,2026-08-29T20:30:00Z,2026-08-30T04:30:00Z,set_3101_p03,Synthetic customer payment,,ent_3101_p03_00,UTR3101P03A,ord_3101_p03_00,receipt_3101_00,card,synthetic_network,synthetic_issuer,debit,,online,ba_02
ent_3101_p03_03,payment,0,67900,67900,INR,0,0,false,true,2026-08-29T20:30:00Z,2026-08-30T04:30:00Z,set_3101_p03,Synthetic customer payment,,ent_3101_p03_03,UTR3101P03A,ord_3101_p03_03,receipt_3101_03,card,synthetic_network,synthetic_issuer,debit,,online,ba_02
ent_3101_p01_06,payment,0,13900,13900,INR,0,0,false,true,2026-08-30T00:30:00Z,2026-08-30T08:30:00Z,set_3101_p01,Synthetic customer payment,,ent_3101_p01_06,UTR3101P01A,ord_3101_p01_06,receipt_3101_06,card,synthetic_network,synthetic_issuer,debit,,online,ba_02
ent_3101_p01_04,payment,0,49300,49300,INR,0,0,false,true,2026-08-30T00:30:00Z,2026-08-30T08:30:00Z,set_3101_p01,Synthetic customer payment,,ent_3101_p01_04,UTR3101P01A,ord_3101_p01_04,receipt_3101_04,card,synthetic_network,synthetic_issuer,debit,,online,ba_02
ent_3101_p03_07,payment,0,12100,12100,INR,0,0,false,true,2026-08-29T20:30:00Z,2026-08-30T04:30:00Z,set_3101_p03,Synthetic customer payment,,ent_3101_p03_07,UTR3101P03A,ord_3101_p03_07,receipt_3101_07,card,synthetic_network,synthetic_issuer,debit,,online,ba_02
ent_3101_p00_01,payment,0,61600,61600,INR,0,0,false,true,2026-08-30T02:30:00Z,2026-08-30T10:30:00Z,set_3101_p00,Synthetic customer payment,,ent_3101_p00_01,UTR3101P00A,ord_3101_p00_01,receipt_3101_01,card,synthetic_network,synthetic_issuer,debit,,online,ba_01
ent_3101_p00_02,payment,0,49500,49500,INR,0,0,false,true,2026-08-30T02:30:00Z,2026-08-30T10:30:00Z,set_3101_p00,Synthetic customer payment,,ent_3101_p00_02,UTR3101P00A,ord_3101_p00_02,receipt_3101_02,card,synthetic_network,synthetic_issuer,debit,,online,ba_01
ent_3101_p01_07,payment,0,69000,69000,INR,0,0,false,true,2026-08-30T00:30:00Z,2026-08-30T08:30:00Z,set_3101_p01,Synthetic customer payment,,ent_3101_p01_07,UTR3101P01A,ord_3101_p01_07,receipt_3101_07,card,synthetic_network,synthetic_issuer,debit,,online,ba_02
ent_3101_p00_06,payment,0,55900,55900,INR,0,0,false,true,2026-08-30T02:30:00Z,2026-08-30T10:30:00Z,set_3101_p00,Synthetic customer payment,,ent_3101_p00_06,UTR3101P00A,ord_3101_p00_06,receipt_3101_06,card,synthetic_network,synthetic_issuer,debit,,online,ba_01
ent_3101_p03_05,payment,0,54300,54300,INR,0,0,false,true,2026-08-29T20:30:00Z,2026-08-30T04:30:00Z,set_3101_p03,Synthetic customer payment,,ent_3101_p03_05,UTR3101P03A,ord_3101_p03_05,receipt_3101_05,card,synthetic_network,synthetic_issuer,debit,,online,ba_02
ent_3101_p01_05,payment,0,57200,57200,INR,0,0,false,true,2026-08-30T00:30:00Z,2026-08-30T08:30:00Z,set_3101_p01,Synthetic customer payment,,ent_3101_p01_05,UTR3101P01A,ord_3101_p01_05,receipt_3101_05,card,synthetic_network,synthetic_issuer,debit,,online,ba_02
ent_3101_p01_02,payment,0,57900,57900,INR,0,0,false,true,2026-08-30T00:30:00Z,2026-08-30T08:30:00Z,set_3101_p01,Synthetic customer payment,,ent_3101_p01_02,UTR3101P01A,ord_3101_p01_02,receipt_3101_02,card,synthetic_network,synthetic_issuer,debit,,online,ba_02
ent_3101_p02_03,payment,0,33900,33900,INR,0,0,false,true,2026-08-29T22:30:00Z,2026-08-30T06:30:00Z,set_3101_p02,Synthetic customer payment,,ent_3101_p02_03,UTR3101P02A,ord_3101_p02_03,receipt_3101_03,card,synthetic_network,synthetic_issuer,debit,,online,ba_01
ent_3101_p02_08,adjustment,450,0,450,INR,450,0,false,true,2026-08-30T08:30:00Z,2026-08-30T16:30:00Z,set_3101_p02,Synthetic adjustment movement,,,UTR3101P02A,,,,,,,,,ba_01
ent_3101_p00_08,adjustment,450,0,450,INR,450,0,false,true,2026-08-30T12:30:00Z,2026-08-30T20:30:00Z,set_3101_p00,Synthetic adjustment movement,,,UTR3101P00A,,,,,,,,,ba_01
ent_3101_p02_02,payment,0,49400,49400,INR,0,0,false,true,2026-08-29T22:30:00Z,2026-08-30T06:30:00Z,set_3101_p02,Synthetic customer payment,,ent_3101_p02_02,UTR3101P02A,ord_3101_p02_02,receipt_3101_02,card,synthetic_network,synthetic_issuer,debit,,online,ba_01
ent_3101_p03_01,payment,0,70900,70900,INR,0,0,false,true,2026-08-29T20:30:00Z,2026-08-30T04:30:00Z,set_3101_p03,Synthetic customer payment,,ent_3101_p03_01,UTR3101P03A,ord_3101_p03_01,receipt_3101_01,card,synthetic_network,synthetic_issuer,debit,,online,ba_02
ent_3101_p02_05,payment,0,32400,32400,INR,0,0,false,true,2026-08-29T22:30:00Z,2026-08-30T06:30:00Z,set_3101_p02,Synthetic customer payment,,ent_3101_p02_05,UTR3101P02A,ord_3101_p02_05,receipt_3101_05,card,synthetic_network,synthetic_issuer,debit,,online,ba_01
ent_3101_p03_04,payment,0,62100,62100,INR,0,0,false,true,2026-08-29T20:30:00Z,2026-08-30T04:30:00Z,set_3101_p03,Synthetic customer payment,,ent_3101_p03_04,UTR3101P03A,ord_3101_p03_04,receipt_3101_04,card,synthetic_network,synthetic_issuer,debit,,online,ba_02
ent_3101_p02_06,payment,0,48900,48900,INR,0,0,false,true,2026-08-29T22:30:00Z,2026-08-30T06:30:00Z,set_3101_p02,Synthetic customer payment,,ent_3101_p02_06,UTR3101P02A,ord_3101_p02_06,receipt_3101_06,card,synthetic_network,synthetic_issuer,debit,,online,ba_01
ent_3101_p03_06,payment,0,36300,36300,INR,0,0,false,true,2026-08-29T20:30:00Z,2026-08-30T04:30:00Z,set_3101_p03,Synthetic customer payment,,ent_3101_p03_06,UTR3101P03A,ord_3101_p03_06,receipt_3101_06,card,synthetic_network,synthetic_issuer,debit,,online,ba_02
ent_3101_p01_08,adjustment,450,0,450,INR,450,0,false,true,2026-08-30T10:30:00Z,2026-08-30T18:30:00Z,set_3101_p01,Synthetic adjustment movement,,,UTR3101P01A,,,,,,,,,ba_02
ent_3101_p00_05,payment,0,19000,19000,INR,0,0,false,true,2026-08-30T02:30:00Z,2026-08-30T10:30:00Z,set_3101_p00,Synthetic customer payment,,ent_3101_p00_05,UTR3101P00A,ord_3101_p00_05,receipt_3101_05,card,synthetic_network,synthetic_issuer,debit,,online,ba_01
ent_3101_p02_04,payment,0,72200,72200,INR,0,0,false,true,2026-08-29T22:30:00Z,2026-08-30T06:30:00Z,set_3101_p02,Synthetic customer payment,,ent_3101_p02_04,UTR3101P02A,ord_3101_p02_04,receipt_3101_04,card,synthetic_network,synthetic_issuer,debit,,online,ba_01
ent_3101_p01_09,adjustment,81,0,81,INR,0,81,false,true,2026-08-30T10:30:00Z,2026-08-30T18:30:00Z,set_3101_p01,Synthetic adjustment movement,,,UTR3101P01A,,,,,,,,,ba_02
ent_3101_p01_01,payment,0,65500,65500,INR,0,0,false,true,2026-08-30T00:30:00Z,2026-08-30T08:30:00Z,set_3101_p01,Synthetic customer payment,,ent_3101_p01_01,UTR3101P01A,ord_3101_p01_01,receipt_3101_01,card,synthetic_network,synthetic_issuer,debit,,online,ba_02
ent_3101_p02_07,payment,0,15600,15600,INR,0,0,false,true,2026-08-29T22:30:00Z,2026-08-30T06:30:00Z,set_3101_p02,Synthetic customer payment,,ent_3101_p02_07,UTR3101P02A,ord_3101_p02_07,receipt_3101_07,card,synthetic_network,synthetic_issuer,debit,,online,ba_01
ent_3101_p00_07,payment,0,70500,70500,INR,0,0,false,true,2026-08-30T02:30:00Z,2026-08-30T10:30:00Z,set_3101_p00,Synthetic customer payment,,ent_3101_p00_07,UTR3101P00A,ord_3101_p00_07,receipt_3101_07,card,synthetic_network,synthetic_issuer,debit,,online,ba_01
ent_3101_p03_09,adjustment,81,0,81,INR,0,81,false,true,2026-08-30T06:30:00Z,2026-08-30T14:30:00Z,set_3101_p03,Synthetic adjustment movement,,,UTR3101P03A,,,,,,,,,ba_02
ent_3101_p01_03,payment,0,63800,63800,INR,0,0,false,true,2026-08-30T00:30:00Z,2026-08-30T08:30:00Z,set_3101_p01,Synthetic customer payment,,ent_3101_p01_03,UTR3101P01A,ord_3101_p01_03,receipt_3101_03,card,synthetic_network,synthetic_issuer,debit,,online,ba_02
ent_3101_p02_00,payment,0,27500,27500,INR,450,81,false,true,2026-08-29T22:30:00Z,2026-08-30T06:30:00Z,set_3101_p02,Synthetic customer payment,,ent_3101_p02_00,UTR3101P02A,ord_3101_p02_00,receipt_3101_00,card,synthetic_network,synthetic_issuer,debit,,online,ba_01
ent_3101_p02_09,adjustment,81,0,81,INR,0,81,false,true,2026-08-30T08:30:00Z,2026-08-30T16:30:00Z,set_3101_p02,Synthetic adjustment movement,,,UTR3101P02A,,,,,,,,,ba_01
ent_3101_p00_00,payment,0,49900,49900,INR,450,81,false,true,2026-08-30T02:30:00Z,2026-08-30T10:30:00Z,set_3101_p00,Synthetic customer payment,,ent_3101_p00_00,UTR3101P00A,ord_3101_p00_00,receipt_3101_00,card,synthetic_network,synthetic_issuer,debit,,online,ba_01
ent_3101_p03_02,payment,0,51900,51900,INR,0,0,false,true,2026-08-29T20:30:00Z,2026-08-30T04:30:00Z,set_3101_p03,Synthetic customer payment,,ent_3101_p03_02,UTR3101P03A,ord_3101_p03_02,receipt_3101_02,card,synthetic_network,synthetic_issuer,debit,,online,ba_02
ent_3101_p00_04,payment,0,76800,76800,INR,0,0,false,true,2026-08-30T02:30:00Z,2026-08-30T10:30:00Z,set_3101_p00,Synthetic customer payment,,ent_3101_p00_04,UTR3101P00A,ord_3101_p00_04,receipt_3101_04,card,synthetic_network,synthetic_issuer,debit,,online,ba_01
ent_3101_p01_00,payment,0,41600,41600,INR,450,81,false,true,2026-08-30T00:30:00Z,2026-08-30T08:30:00Z,set_3101_p01,Synthetic customer payment,,ent_3101_p01_00,UTR3101P01A,ord_3101_p01_00,receipt_3101_00,card,synthetic_network,synthetic_issuer,debit,,online,ba_02
ent_3101_p00_09,adjustment,81,0,81,INR,0,81,false,true,2026-08-30T12:30:00Z,2026-08-30T20:30:00Z,set_3101_p00,Synthetic adjustment movement,,,UTR3101P00A,,,,,,,,,ba_01
ent_3101_p03_08,adjustment,450,0,450,INR,450,0,false,true,2026-08-30T06:30:00Z,2026-08-30T14:30:00Z,set_3101_p03,Synthetic adjustment movement,,,UTR3101P03A,,,,,,,,,ba_02
ent_3101_p00_03,payment,0,41000,41000,INR,0,0,false,true,2026-08-30T02:30:00Z,2026-08-30T10:30:00Z,set_3101_p00,Synthetic customer payment,,ent_3101_p00_03,UTR3101P00A,ord_3101_p00_03,receipt_3101_03,card,synthetic_network,synthetic_issuer,debit,,online,ba_01
