journal_id,line_id,posted_at,account_code,account_name,debit,credit,currency,reference,narration,order_id,payment_id,settlement_id,utr,voucher_type
j_3103_ent_3103_p06_03,l_3103_ent_3103_p06_03_d,2026-08-30T06:30:00Z,1100,Synthetic Razorpay clearing,41800,0,INR,set_3103_p06,Synthetic balanced journal,ord_3103_p06_03,ent_3103_p06_03,set_3103_p06,UTR3103P06A,synthetic_recon
j_3103_ent_3103_p11_08,l_3103_ent_3103_p11_08_d,2026-08-30T14:30:00Z,5100,Synthetic gateway fee expense,450,0,INR,set_3103_p11,Synthetic balanced journal,,,set_3103_p11,UTR3103P11A,synthetic_recon
j_3103_ent_3103_p11_07,l_3103_ent_3103_p11_07_c,2026-08-30T04:30:00Z,4000,Synthetic sales revenue,0,41300,INR,set_3103_p11,Synthetic balanced journal,ord_3103_p11_07,ent_3103_p11_07,set_3103_p11,UTR3103P11A,synthetic_recon
j_3103_ent_3103_p00_09,l_3103_ent_3103_p00_09_d,2026-08-30T20:30:00Z,2100,Synthetic input GST,81,0,INR,set_3103_p00,Synthetic balanced journal,,,set_3103_p00,UTR3103P00A,synthetic_recon
j_3103_settle_p01,l_3103_settle_p01_bank,2026-08-31T06:30:00Z,1000,Synthetic bank account,493169,0,INR,set_3103_p01,Synthetic settlement bank posting,,,set_3103_p01,UTR3103P01A,synthetic_settlement
j_3103_ent_3103_p08_01,l_3103_ent_3103_p08_01_c,2026-08-30T10:30:00Z,4000,Synthetic sales revenue,0,83500,INR,set_3103_p08,Synthetic balanced journal,ord_3103_p08_01,ent_3103_p08_01,set_3103_p08,UTR3103P08A,synthetic_recon
j_3103_ent_3103_p03_01,l_3103_ent_3103_p03_01_d,2026-08-30T16:30:00Z,1100,Synthetic Razorpay clearing,66600,0,INR,set_3103_p03,Synthetic balanced journal,ord_3103_p03_01,ent_3103_p03_01,set_3103_p03,UTR3103P03A,synthetic_recon
j_3103_ent_3103_p08_07,l_3103_ent_3103_p08_07_c,2026-08-30T10:30:00Z,4000,Synthetic sales revenue,0,35300,INR,set_3103_p08,Synthetic balanced journal,ord_3103_p08_07,ent_3103_p08_07,set_3103_p08,UTR3103P08A,synthetic_recon
j_3103_ent_3103_p01_09,l_3103_ent_3103_p01_09_c,2026-08-30T18:30:00Z,1100,Synthetic Razorpay clearing,0,81,INR,set_3103_p01,Synthetic balanced journal,,,set_3103_p01,UTR3103P01A,synthetic_recon
j_3103_ent_3103_p05_06,l_3103_ent_3103_p05_06_c,2026-08-30T08:30:00Z,4000,Synthetic sales revenue,0,35000,INR,set_3103_p05,Synthetic balanced journal,ord_3103_p05_06,ent_3103_p05_06,set_3103_p05,UTR3103P05A,synthetic_recon
j_3103_ent_3103_p05_10,l_3103_ent_3103_p05_10_c,2026-08-30T18:30:00Z,1100,Synthetic Razorpay clearing,0,1100,INR,set_3103_p05,Synthetic balanced journal,,,set_3103_p05,UTR3103P05A,synthetic_recon
j_3103_ent_3103_p08_02,l_3103_ent_3103_p08_02_c,2026-08-30T10:30:00Z,4000,Synthetic sales revenue,0,51200,INR,set_3103_p08,Synthetic balanced journal,ord_3103_p08_02,ent_3103_p08_02,set_3103_p08,UTR3103P08A,synthetic_recon
j_3103_ent_3103_p08_02,l_3103_ent_3103_p08_02_d,2026-08-30T10:30:00Z,1100,Synthetic Razorpay clearing,51200,0,INR,set_3103_p08,Synthetic balanced journal,ord_3103_p08_02,ent_3103_p08_02,set_3103_p08,UTR3103P08A,synthetic_recon
j_3103_ent_3103_p11_02,l_3103_ent_3103_p11_02_d,2026-08-30T04:30:00Z,1100,Synthetic Razorpay clearing,25100,0,INR,set_3103_p11,Synthetic balanced journal,ord_3103_p11_02,ent_3103_p11_02,set_3103_p11,UTR3103P11A,synthetic_recon
j_3103_ent_3103_p04_06,l_3103_ent_3103_p04_06_d,2026-08-30T16:30:00Z,1100,Synthetic Razorpay clearing,24300,0,INR,set_3103_p04,Synthetic balanced journal,ord_3103_p04_06,ent_3103_p04_06,set_3103_p04,UTR3103P04A,synthetic_recon
j_3103_ent_3103_p01_03,l_3103_ent_3103_p01_03_d,2026-08-30T08:30:00Z,1100,Synthetic Razorpay clearing,79400,0,INR,set_3103_p01,Synthetic balanced journal,ord_3103_p01_03,ent_3103_p01_03,set_3103_p01,UTR3103P01A,synthetic_recon
j_3103_ent_3103_p01_01,l_3103_ent_3103_p01_01_d,2026-08-30T08:30:00Z,1100,Synthetic Razorpay clearing,72400,0,INR,set_3103_p01,Synthetic balanced journal,ord_3103_p01_01,ent_3103_p01_01,set_3103_p01,UTR3103P01A,synthetic_recon
j_3103_ent_3103_p11_05,l_3103_ent_3103_p11_05_c,2026-08-30T04:30:00Z,4000,Synthetic sales revenue,0,38200,INR,set_3103_p11,Synthetic balanced journal,ord_3103_p11_05,ent_3103_p11_05,set_3103_p11,UTR3103P11A,synthetic_recon
j_3103_ent_3103_p03_06,l_3103_ent_3103_p03_06_c,2026-08-30T16:30:00Z,4000,Synthetic sales revenue,0,25000,INR,set_3103_p03,Synthetic balanced journal,ord_3103_p03_06,ent_3103_p03_06,set_3103_p03,UTR3103P03A,synthetic_recon
j_3103_ent_3103_p10_03,l_3103_ent_3103_p10_03_d,2026-08-26T16:30:00Z,1100,Synthetic Razorpay clearing,75300,0,INR,set_3103_p10,Synthetic balanced journal,ord_3103_p10_03,ent_3103_p10_03,set_3103_p10,UTR3103P10A,synthetic_recon
j_3103_ent_3103_p07_04,l_3103_ent_3103_p07_04_d,2026-08-30T04:30:00Z,1100,Synthetic Razorpay clearing,66300,0,INR,set_3103_p07,Synthetic balanced journal,ord_3103_p07_04,ent_3103_p07_04,set_3103_p07,,synthetic_recon
j_3103_ent_3103_p00_02,l_3103_ent_3103_p00_02_c,2026-08-30T10:30:00Z,4000,Synthetic sales revenue,0,74000,INR,set_3103_p00,Synthetic balanced journal,ord_3103_p00_02,ent_3103_p00_02,set_3103_p00,UTR3103P00A,synthetic_recon
j_3103_ent_3103_p01_08,l_3103_ent_3103_p01_08_c,2026-08-30T18:30:00Z,1100,Synthetic Razorpay clearing,0,450,INR,set_3103_p01,Synthetic balanced journal,,,set_3103_p01,UTR3103P01A,synthetic_recon
j_3103_ent_3103_p09_00,l_3103_ent_3103_p09_00_c,2026-08-30T04:30:00Z,4000,Synthetic sales revenue,0,39900,INR,set_3103_p09,Synthetic balanced journal,ord_3103_p09_00,ent_3103_p09_00,set_3103_p09,UTR3103P09A,synthetic_recon
j_3103_settle_p01,l_3103_settle_p01_clearing,2026-08-31T06:30:00Z,1100,Synthetic Razorpay clearing,0,493169,INR,set_3103_p01,Synthetic settlement bank posting,,,set_3103_p01,UTR3103P01A,synthetic_settlement
j_3103_ent_3103_p01_00,l_3103_ent_3103_p01_00_d,2026-08-30T08:30:00Z,1100,Synthetic Razorpay clearing,59000,0,INR,set_3103_p01,Synthetic balanced journal,ord_3103_p01_00,ent_3103_p01_00,set_3103_p01,UTR3103P01A,synthetic_recon
