journal_id,line_id,posted_at,account_code,account_name,debit,credit,currency,reference,narration,order_id,payment_id,settlement_id,utr,voucher_type
j_3102_ent_3102_p06_00,l_3102_ent_3102_p06_00_d,2026-08-30T06:30:00Z,1100,Synthetic Razorpay clearing,22700,0,INR,set_3102_p06,Synthetic balanced journal,ord_3102_p06_00,ent_3102_p06_00,set_3102_p06,UTR3102P06A,synthetic_recon
j_3102_ent_3102_p11_00,l_3102_ent_3102_p11_00_d,2026-08-26T16:30:00Z,1100,Synthetic Razorpay clearing,12100,0,INR,set_3102_p11,Synthetic balanced journal,ord_3102_p11_00,ent_3102_p11_00,set_3102_p11,UTR3102P11A,synthetic_recon
j_3102_ent_3102_p11_01,l_3102_ent_3102_p11_01_c,2026-08-26T16:30:00Z,4000,Synthetic sales revenue,0,64600,INR,set_3102_p11,Synthetic balanced journal,ord_3102_p11_01,ent_3102_p11_01,set_3102_p11,UTR3102P11A,synthetic_recon
j_3102_ent_3102_p06_02,l_3102_ent_3102_p06_02_c,2026-08-30T06:30:00Z,4000,Synthetic sales revenue,0,35600,INR,set_3102_p06,Synthetic balanced journal,ord_3102_p06_02,ent_3102_p06_02,set_3102_p06,UTR3102P06A,synthetic_recon
j_3102_ent_3102_p03_04,l_3102_ent_3102_p03_04_d,2026-08-30T04:30:00Z,1100,Synthetic Razorpay clearing,64400,0,INR,set_3102_p03,Synthetic balanced journal,ord_3102_p03_04,ent_3102_p03_04,set_3102_p03,UTR3102P03A,synthetic_recon
j_3102_ent_3102_p02_06,l_3102_ent_3102_p02_06_c,2026-08-30T06:30:00Z,4000,Synthetic sales revenue,0,16500,INR,set_3102_p02,Synthetic balanced journal,ord_3102_p02_06,ent_3102_p02_06,set_3102_p02,UTR3102P02A,synthetic_recon
j_3102_ent_3102_p06_01,l_3102_ent_3102_p06_01_d,2026-08-30T06:30:00Z,1100,Synthetic Razorpay clearing,54000,0,INR,set_3102_p06,Synthetic balanced journal,ord_3102_p06_01,ent_3102_p06_01,set_3102_p06,UTR3102P06A,synthetic_recon
j_3102_ent_3102_p04_07,l_3102_ent_3102_p04_07_c,2026-08-30T16:30:00Z,4000,Synthetic sales revenue,0,34400,INR,set_3102_p04,Synthetic balanced journal,ord_3102_p04_07,ent_3102_p04_07,set_3102_p04,UTR3102P04A,synthetic_recon
j_3102_ent_3102_p10_06,l_3102_ent_3102_p10_06_d,2026-08-30T04:30:00Z,1100,Synthetic Razorpay clearing,30200,0,INR,set_3102_p10,Synthetic balanced journal,ord_3102_p10_06,ent_3102_p10_06,set_3102_p10,UTR3102P10A,synthetic_recon
j_3102_ent_3102_p01_06,l_3102_ent_3102_p01_06_d,2026-08-30T08:30:00Z,1100,Synthetic Razorpay clearing,59500,0,INR,set_3102_p01,Synthetic balanced journal,ord_3102_p01_06,ent_3102_p01_06,set_3102_p01,UTR3102P01A,synthetic_recon
j_3102_ent_3102_p00_01,l_3102_ent_3102_p00_01_c,2026-08-30T10:30:00Z,4000,Synthetic sales revenue,0,72400,INR,set_3102_p00,Synthetic balanced journal,ord_3102_p00_01,ent_3102_p00_01,set_3102_p00,UTR3102P00A,synthetic_recon
j_3102_ent_3102_p00_01,l_3102_ent_3102_p00_01_d,2026-08-30T10:30:00Z,1100,Synthetic Razorpay clearing,72400,0,INR,set_3102_p00,Synthetic balanced journal,ord_3102_p00_01,ent_3102_p00_01,set_3102_p00,UTR3102P00A,synthetic_recon
j_3102_ent_3102_p04_01,l_3102_ent_3102_p04_01_c,2026-08-30T16:30:00Z,4000,Synthetic sales revenue,0,63000,INR,set_3102_p04,Synthetic balanced journal,ord_3102_p04_01,ent_3102_p04_01,set_3102_p04,UTR3102P04A,synthetic_recon
j_3102_ent_3102_p10_00,l_3102_ent_3102_p10_00_c,2026-08-30T04:30:00Z,4000,Synthetic sales revenue,0,71000,INR,set_3102_p10,Synthetic balanced journal,ord_3102_p10_00,ent_3102_p10_00,set_3102_p10,UTR3102P10A,synthetic_recon
j_3102_ent_3102_p09_00,l_3102_ent_3102_p09_00_c,2026-08-30T08:30:00Z,4000,Synthetic sales revenue,0,41900,INR,set_3102_p09,Synthetic balanced journal,ord_3102_p09_00,ent_3102_p09_00,set_3102_p09,UTR3102P09A,synthetic_recon
j_3102_ent_3102_p00_04,l_3102_ent_3102_p00_04_c,2026-08-30T10:30:00Z,4000,Synthetic sales revenue,0,77900,INR,set_3102_p00,Synthetic balanced journal,ord_3102_p00_04,ent_3102_p00_04,set_3102_p00,UTR3102P00A,synthetic_recon
j_3102_ent_3102_p06_11,l_3102_ent_3102_p06_11_c,2026-08-30T16:30:00Z,1100,Synthetic Razorpay clearing,0,875,INR,set_3102_p06,Synthetic balanced journal,,,set_3102_p06,UTR3102P06A,synthetic_recon
j_3102_settle_p06,l_3102_settle_p06_bank,2026-08-31T04:30:00Z,1000,Synthetic bank account,386925,0,INR,set_3102_p06,Synthetic settlement bank posting,,,set_3102_p06,UTR3102P06A,synthetic_settlement
j_3102_ent_3102_p11_01,l_3102_ent_3102_p11_01_d,2026-08-26T16:30:00Z,1100,Synthetic Razorpay clearing,64600,0,INR,set_3102_p11,Synthetic balanced journal,ord_3102_p11_01,ent_3102_p11_01,set_3102_p11,UTR3102P11A,synthetic_recon
j_3102_ent_3102_p05_07,l_3102_ent_3102_p05_07_c,2026-08-30T16:30:00Z,4000,Synthetic sales revenue,0,75400,INR,set_3102_p05,Synthetic balanced journal,ord_3102_p05_07,ent_3102_p05_07,set_3102_p05,UTR3102P05A,synthetic_recon
j_3102_ent_3102_p11_06,l_3102_ent_3102_p11_06_d,2026-08-26T16:30:00Z,1100,Synthetic Razorpay clearing,72700,0,INR,set_3102_p11,Synthetic balanced journal,ord_3102_p11_06,ent_3102_p11_06,set_3102_p11,UTR3102P11A,synthetic_recon
j_3102_ent_3102_p09_04,l_3102_ent_3102_p09_04_c,2026-08-30T08:30:00Z,4000,Synthetic sales revenue,0,13400,INR,set_3102_p09,Synthetic balanced journal,ord_3102_p09_04,ent_3102_p09_04,set_3102_p09,UTR3102P09A,synthetic_recon
j_3102_ent_3102_p04_05,l_3102_ent_3102_p04_05_c,2026-08-30T16:30:00Z,4000,Synthetic sales revenue,0,66900,INR,set_3102_p04,Synthetic balanced journal,ord_3102_p04_05,ent_3102_p04_05,set_3102_p04,UTR3102P04A,synthetic_recon
j_3102_settle_p00,l_3102_settle_p00_clearing,2026-08-31T08:30:00Z,1100,Synthetic Razorpay clearing,0,437669,INR,set_3102_p00,Synthetic settlement bank posting,,,set_3102_p00,UTR3102P00A,synthetic_settlement
j_3102_ent_3102_p00_07,l_3102_ent_3102_p00_07_d,2026-08-30T10:30:00Z,1100,Synthetic Razorpay clearing,47500,0,INR,set_3102_p00,Synthetic balanced journal,ord_3102_p00_07,ent_3102_p00_07,set_3102_p00,UTR3102P00A,synthetic_recon
j_3102_ent_3102_p02_00,l_3102_ent_3102_p02_00_d,2026-08-30T06:30:00Z,1100,Synthetic Razorpay clearing,53000,0,INR,set_3102_p02,Synthetic balanced journal,ord_3102_p02_00,ent_3102_p02_00,set_3102_p02,UTR3102P02A,synthetic_recon
j_3102_ent_3102_p09_01,l_3102_ent_3102_p09_01_d,2026-08-30T08:30:00Z,1100,Synthetic Razorpay clearing,36900,0,INR,set_3102_p09,Synthetic balanced journal,ord_3102_p09_01,ent_3102_p09_01,set_3102_p09,UTR3102P09A,synthetic_recon
j_3102_ent_3102_p10_05,l_3102_ent_3102_p10_05_d,2026-08-30T04:30:00Z,1100,Synthetic Razorpay clearing,21200,0,INR,set_3102_p10,Synthetic balanced journal,ord_3102_p10_05,ent_3102_p10_05,set_3102_p10,UTR3102P10A,synthetic_recon
j_3102_ent_3102_p01_00,l_3102_ent_3102_p01_00_d,2026-08-30T08:30:00Z,1100,Synthetic Razorpay clearing,30700,0,INR,set_3102_p01,Synthetic balanced journal,ord_3102_p01_00,ent_3102_p01_00,set_3102_p01,UTR3102P01A,synthetic_recon
j_3102_ent_3102_p02_03,l_3102_ent_3102_p02_03_d,2026-08-30T06:30:00Z,1100,Synthetic Razorpay clearing,57100,0,INR,set_3102_p02,Synthetic balanced journal,ord_3102_p02_03,ent_3102_p02_03,set_3102_p02,UTR3102P02A,synthetic_recon
j_3102_ent_3102_p09_02,l_3102_ent_3102_p09_02_d,2026-08-30T08:30:00Z,1100,Synthetic Razorpay clearing,82900,0,INR,set_3102_p09,Synthetic balanced journal,ord_3102_p09_02,ent_3102_p09_02,set_3102_p09,UTR3102P09A,synthetic_recon
j_3102_settle_p01,l_3102_settle_p01_bank,2026-08-31T06:30:00Z,1000,Synthetic bank account,384169,0,INR,set_3102_p01,Synthetic settlement bank posting,,,set_3102_p01,UTR3102P01A,synthetic_settlement
j_3102_ent_3102_p11_07,l_3102_ent_3102_p11_07_c,2026-08-26T16:30:00Z,4000,Synthetic sales revenue,0,55200,INR,set_3102_p11,Synthetic balanced journal,ord_3102_p11_07,ent_3102_p11_07,set_3102_p11,UTR3102P11A,synthetic_recon
