journal_id,line_id,posted_at,account_code,account_name,debit,credit,currency,reference,narration,order_id,payment_id,settlement_id,utr,voucher_type
j_3101_ent_3101_p03_08,l_3101_ent_3101_p03_08_c,2026-08-30T14:30:00Z,1100,Synthetic Razorpay clearing,0,450,INR,set_3101_p03,Synthetic balanced journal,,,set_3101_p03,UTR3101P03A,synthetic_recon
j_3101_ent_3101_p01_04,l_3101_ent_3101_p01_04_d,2026-08-30T08:30:00Z,1100,Synthetic Razorpay clearing,49300,0,INR,set_3101_p01,Synthetic balanced journal,ord_3101_p01_04,ent_3101_p01_04,set_3101_p01,UTR3101P01A,synthetic_recon
j_3101_ent_3101_p00_06,l_3101_ent_3101_p00_06_c,2026-08-30T10:30:00Z,4000,Synthetic sales revenue,0,55900,INR,set_3101_p00,Synthetic balanced journal,ord_3101_p00_06,ent_3101_p00_06,set_3101_p00,UTR3101P00A,synthetic_recon
j_3101_ent_3101_p01_00,l_3101_ent_3101_p01_00_c,2026-08-30T08:30:00Z,4000,Synthetic sales revenue,0,41600,INR,set_3101_p01,Synthetic balanced journal,ord_3101_p01_00,ent_3101_p01_00,set_3101_p01,UTR3101P01A,synthetic_recon
j_3101_ent_3101_p00_08,l_3101_ent_3101_p00_08_d,2026-08-30T20:30:00Z,5100,Synthetic gateway fee expense,450,0,INR,set_3101_p00,Synthetic balanced journal,,,set_3101_p00,UTR3101P00A,synthetic_recon
j_3101_ent_3101_p01_07,l_3101_ent_3101_p01_07_d,2026-08-30T08:30:00Z,1100,Synthetic Razorpay clearing,69000,0,INR,set_3101_p01,Synthetic balanced journal,ord_3101_p01_07,ent_3101_p01_07,set_3101_p01,UTR3101P01A,synthetic_recon
j_3101_ent_3101_p01_01,l_3101_ent_3101_p01_01_d,2026-08-30T08:30:00Z,1100,Synthetic Razorpay clearing,65500,0,INR,set_3101_p01,Synthetic balanced journal,ord_3101_p01_01,ent_3101_p01_01,set_3101_p01,UTR3101P01A,synthetic_recon
j_3101_ent_3101_p03_01,l_3101_ent_3101_p03_01_c,2026-08-30T04:30:00Z,4000,Synthetic sales revenue,0,70900,INR,set_3101_p03,Synthetic balanced journal,ord_3101_p03_01,ent_3101_p03_01,set_3101_p03,UTR3101P03A,synthetic_recon
j_3101_ent_3101_p02_06,l_3101_ent_3101_p02_06_c,2026-08-30T06:30:00Z,4000,Synthetic sales revenue,0,48900,INR,set_3101_p02,Synthetic balanced journal,ord_3101_p02_06,ent_3101_p02_06,set_3101_p02,UTR3101P02A,synthetic_recon
j_3101_ent_3101_p01_02,l_3101_ent_3101_p01_02_d,2026-08-30T08:30:00Z,1100,Synthetic Razorpay clearing,57900,0,INR,set_3101_p01,Synthetic balanced journal,ord_3101_p01_02,ent_3101_p01_02,set_3101_p01,UTR3101P01A,synthetic_recon
j_3101_ent_3101_p01_03,l_3101_ent_3101_p01_03_d,2026-08-30T08:30:00Z,1100,Synthetic Razorpay clearing,63800,0,INR,set_3101_p01,Synthetic balanced journal,ord_3101_p01_03,ent_3101_p01_03,set_3101_p01,UTR3101P01A,synthetic_recon
j_3101_ent_3101_p01_08,l_3101_ent_3101_p01_08_c,2026-08-30T18:30:00Z,1100,Synthetic Razorpay clearing,0,450,INR,set_3101_p01,Synthetic balanced journal,,,set_3101_p01,UTR3101P01A,synthetic_recon
j_3101_ent_3101_p00_05,l_3101_ent_3101_p00_05_c,2026-08-30T10:30:00Z,4000,Synthetic sales revenue,0,19000,INR,set_3101_p00,Synthetic balanced journal,ord_3101_p00_05,ent_3101_p00_05,set_3101_p00,UTR3101P00A,synthetic_recon
j_3101_ent_3101_p03_06,l_3101_ent_3101_p03_06_d,2026-08-30T04:30:00Z,1100,Synthetic Razorpay clearing,36300,0,INR,set_3101_p03,Synthetic balanced journal,ord_3101_p03_06,ent_3101_p03_06,set_3101_p03,UTR3101P03A,synthetic_recon
j_3101_ent_3101_p03_05,l_3101_ent_3101_p03_05_d,2026-08-30T04:30:00Z,1100,Synthetic Razorpay clearing,54300,0,INR,set_3101_p03,Synthetic balanced journal,ord_3101_p03_05,ent_3101_p03_05,set_3101_p03,UTR3101P03A,synthetic_recon
j_3101_ent_3101_p00_08,l_3101_ent_3101_p00_08_c,2026-08-30T20:30:00Z,1100,Synthetic Razorpay clearing,0,450,INR,set_3101_p00,Synthetic balanced journal,,,set_3101_p00,UTR3101P00A,synthetic_recon
j_3101_settle_p00,l_3101_settle_p00_clearing,2026-08-31T08:30:00Z,1100,Synthetic Razorpay clearing,0,423669,INR,set_3101_p00,Synthetic settlement bank posting,,,set_3101_p00,UTR3101P00A,synthetic_settlement
j_3101_ent_3101_p01_04,l_3101_ent_3101_p01_04_c,2026-08-30T08:30:00Z,4000,Synthetic sales revenue,0,49300,INR,set_3101_p01,Synthetic balanced journal,ord_3101_p01_04,ent_3101_p01_04,set_3101_p01,UTR3101P01A,synthetic_recon
j_3101_ent_3101_p02_09,l_3101_ent_3101_p02_09_d,2026-08-30T16:30:00Z,2100,Synthetic input GST,81,0,INR,set_3101_p02,Synthetic balanced journal,,,set_3101_p02,UTR3101P02A,synthetic_recon
j_3101_ent_3101_p01_02,l_3101_ent_3101_p01_02_c,2026-08-30T08:30:00Z,4000,Synthetic sales revenue,0,57900,INR,set_3101_p01,Synthetic balanced journal,ord_3101_p01_02,ent_3101_p01_02,set_3101_p01,UTR3101P01A,synthetic_recon
j_3101_ent_3101_p02_04,l_3101_ent_3101_p02_04_d,2026-08-30T06:30:00Z,1100,Synthetic Razorpay clearing,72200,0,INR,set_3101_p02,Synthetic balanced journal,ord_3101_p02_04,ent_3101_p02_04,set_3101_p02,UTR3101P02A,synthetic_recon
j_3101_settle_p00,l_3101_settle_p00_bank,2026-08-31T08:30:00Z,1000,Synthetic bank account,423669,0,INR,set_3101_p00,Synthetic settlement bank posting,,,set_3101_p00,UTR3101P00A,synthetic_settlement
j_3101_ent_3101_p01_07,l_3101_ent_3101_p01_07_c,2026-08-30T08:30:00Z,4000,Synthetic sales revenue,0,69000,INR,set_3101_p01,Synthetic balanced journal,ord_3101_p01_07,ent_3101_p01_07,set_3101_p01,UTR3101P01A,synthetic_recon
j_3101_ent_3101_p00_09,l_3101_ent_3101_p00_09_d,2026-08-30T20:30:00Z,2100,Synthetic input GST,81,0,INR,set_3101_p00,Synthetic balanced journal,,,set_3101_p00,UTR3101P00A,synthetic_recon
j_3101_ent_3101_p02_04,l_3101_ent_3101_p02_04_c,2026-08-30T06:30:00Z,4000,Synthetic sales revenue,0,72200,INR,set_3101_p02,Synthetic balanced journal,ord_3101_p02_04,ent_3101_p02_04,set_3101_p02,UTR3101P02A,synthetic_recon
j_3101_ent_3101_p00_07,l_3101_ent_3101_p00_07_d,2026-08-30T10:30:00Z,1100,Synthetic Razorpay clearing,70500,0,INR,set_3101_p00,Synthetic balanced journal,ord_3101_p00_07,ent_3101_p00_07,set_3101_p00,UTR3101P00A,synthetic_recon
j_3101_ent_3101_p01_03,l_3101_ent_3101_p01_03_c,2026-08-30T08:30:00Z,4000,Synthetic sales revenue,0,63800,INR,set_3101_p01,Synthetic balanced journal,ord_3101_p01_03,ent_3101_p01_03,set_3101_p01,UTR3101P01A,synthetic_recon
j_3101_ent_3101_p03_00,l_3101_ent_3101_p03_00_d,2026-08-30T04:30:00Z,1100,Synthetic Razorpay clearing,70000,0,INR,set_3101_p03,Synthetic balanced journal,ord_3101_p03_00,ent_3101_p03_00,set_3101_p03,UTR3101P03A,synthetic_recon
j_3101_ent_3101_p03_03,l_3101_ent_3101_p03_03_c,2026-08-30T04:30:00Z,4000,Synthetic sales revenue,0,67900,INR,set_3101_p03,Synthetic balanced journal,ord_3101_p03_03,ent_3101_p03_03,set_3101_p03,UTR3101P03A,synthetic_recon
j_3101_ent_3101_p03_09,l_3101_ent_3101_p03_09_d,2026-08-30T14:30:00Z,6000,Synthetic other operating account,81,0,INR,set_3101_p03,Synthetic balanced journal,,,set_3101_p03,UTR3101P03A,synthetic_recon
j_3101_ent_3101_p03_01,l_3101_ent_3101_p03_01_d,2026-08-30T04:30:00Z,1100,Synthetic Razorpay clearing,70900,0,INR,set_3101_p03,Synthetic balanced journal,ord_3101_p03_01,ent_3101_p03_01,set_3101_p03,UTR3101P03A,synthetic_recon
j_3101_settle_p03,l_3101_settle_p03_clearing,2026-08-31T02:30:00Z,1100,Synthetic Razorpay clearing,0,424969,INR,set_3101_p03,Synthetic settlement bank posting,,,set_3101_p03,UTR3101P03A,synthetic_settlement
j_3101_ent_3101_p02_07,l_3101_ent_3101_p02_07_c,2026-08-30T06:30:00Z,4000,Synthetic sales revenue,0,15600,INR,set_3101_p02,Synthetic balanced journal,ord_3101_p02_07,ent_3101_p02_07,set_3101_p02,UTR3101P02A,synthetic_recon
j_3101_ent_3101_p03_04,l_3101_ent_3101_p03_04_d,2026-08-30T04:30:00Z,1100,Synthetic Razorpay clearing,62100,0,INR,set_3101_p03,Synthetic balanced journal,ord_3101_p03_04,ent_3101_p03_04,set_3101_p03,UTR3101P03A,synthetic_recon
j_3101_ent_3101_p01_05,l_3101_ent_3101_p01_05_c,2026-08-30T08:30:00Z,4000,Synthetic sales revenue,0,57200,INR,set_3101_p01,Synthetic balanced journal,ord_3101_p01_05,ent_3101_p01_05,set_3101_p01,UTR3101P01A,synthetic_recon
j_3101_ent_3101_p03_07,l_3101_ent_3101_p03_07_d,2026-08-30T04:30:00Z,1100,Synthetic Razorpay clearing,12100,0,INR,set_3101_p03,Synthetic balanced journal,ord_3101_p03_07,ent_3101_p03_07,set_3101_p03,UTR3101P03A,synthetic_recon
j_3101_ent_3101_p00_03,l_3101_ent_3101_p00_03_c,2026-08-30T10:30:00Z,4000,Synthetic sales revenue,0,41000,INR,set_3101_p00,Synthetic balanced journal,ord_3101_p00_03,ent_3101_p00_03,set_3101_p00,UTR3101P00A,synthetic_recon
j_3101_ent_3101_p00_04,l_3101_ent_3101_p00_04_d,2026-08-30T10:30:00Z,1100,Synthetic Razorpay clearing,76800,0,INR,set_3101_p00,Synthetic balanced journal,ord_3101_p00_04,ent_3101_p00_04,set_3101_p00,UTR3101P00A,synthetic_recon
j_3101_ent_3101_p02_08,l_3101_ent_3101_p02_08_d,2026-08-30T16:30:00Z,6000,Synthetic other operating account,450,0,INR,set_3101_p02,Synthetic balanced journal,,,set_3101_p02,UTR3101P02A,synthetic_recon
j_3101_ent_3101_p00_02,l_3101_ent_3101_p00_02_c,2026-08-30T10:30:00Z,4000,Synthetic sales revenue,0,49500,INR,set_3101_p00,Synthetic balanced journal,ord_3101_p00_02,ent_3101_p00_02,set_3101_p00,UTR3101P00A,synthetic_recon
j_3101_ent_3101_p03_09,l_3101_ent_3101_p03_09_c,2026-08-30T14:30:00Z,1100,Synthetic Razorpay clearing,0,81,INR,set_3101_p03,Synthetic balanced journal,,,set_3101_p03,UTR3101P03A,synthetic_recon
j_3101_settle_p02,l_3101_settle_p02_clearing,2026-08-31T04:30:00Z,1100,Synthetic Razorpay clearing,0,319069,INR,set_3101_p02,Synthetic settlement bank posting,,,set_3101_p02,UTR3101P02A,synthetic_settlement
j_3101_ent_3101_p01_00,l_3101_ent_3101_p01_00_d,2026-08-30T08:30:00Z,1100,Synthetic Razorpay clearing,41600,0,INR,set_3101_p01,Synthetic balanced journal,ord_3101_p01_00,ent_3101_p01_00,set_3101_p01,UTR3101P01A,synthetic_recon
j_3101_settle_p02,l_3101_settle_p02_bank,2026-08-31T04:30:00Z,1000,Synthetic bank account,319069,0,INR,set_3101_p02,Synthetic settlement bank posting,,,set_3101_p02,UTR3101P02A,synthetic_settlement
j_3101_ent_3101_p02_01,l_3101_ent_3101_p02_01_d,2026-08-30T06:30:00Z,1100,Synthetic Razorpay clearing,39700,0,INR,set_3101_p02,Synthetic balanced journal,ord_3101_p02_01,ent_3101_p02_01,set_3101_p02,UTR3101P02A,synthetic_recon
j_3101_ent_3101_p00_00,l_3101_ent_3101_p00_00_d,2026-08-30T10:30:00Z,1100,Synthetic Razorpay clearing,49900,0,INR,set_3101_p00,Synthetic balanced journal,ord_3101_p00_00,ent_3101_p00_00,set_3101_p00,UTR3101P00A,synthetic_recon
j_3101_ent_3101_p01_08,l_3101_ent_3101_p01_08_d,2026-08-30T18:30:00Z,5100,Synthetic gateway fee expense,450,0,INR,set_3101_p01,Synthetic balanced journal,,,set_3101_p01,UTR3101P01A,synthetic_recon
j_3101_ent_3101_p02_02,l_3101_ent_3101_p02_02_d,2026-08-30T06:30:00Z,1100,Synthetic Razorpay clearing,49400,0,INR,set_3101_p02,Synthetic balanced journal,ord_3101_p02_02,ent_3101_p02_02,set_3101_p02,UTR3101P02A,synthetic_recon
j_3101_ent_3101_p03_02,l_3101_ent_3101_p03_02_d,2026-08-30T04:30:00Z,1100,Synthetic Razorpay clearing,51900,0,INR,set_3101_p03,Synthetic balanced journal,ord_3101_p03_02,ent_3101_p03_02,set_3101_p03,UTR3101P03A,synthetic_recon
j_3101_settle_p01,l_3101_settle_p01_clearing,2026-08-31T06:30:00Z,1100,Synthetic Razorpay clearing,0,417669,INR,set_3101_p01,Synthetic settlement bank posting,,,set_3101_p01,UTR3101P01A,synthetic_settlement
j_3101_ent_3101_p02_00,l_3101_ent_3101_p02_00_d,2026-08-30T06:30:00Z,1100,Synthetic Razorpay clearing,27500,0,INR,set_3101_p02,Synthetic balanced journal,ord_3101_p02_00,ent_3101_p02_00,set_3101_p02,UTR3101P02A,synthetic_recon
j_3101_ent_3101_p03_05,l_3101_ent_3101_p03_05_c,2026-08-30T04:30:00Z,4000,Synthetic sales revenue,0,54300,INR,set_3101_p03,Synthetic balanced journal,ord_3101_p03_05,ent_3101_p03_05,set_3101_p03,UTR3101P03A,synthetic_recon
j_3101_settle_p01,l_3101_settle_p01_bank,2026-08-31T06:30:00Z,1000,Synthetic bank account,417669,0,INR,set_3101_p01,Synthetic settlement bank posting,,,set_3101_p01,UTR3101P01A,synthetic_settlement
j_3101_ent_3101_p02_05,l_3101_ent_3101_p02_05_c,2026-08-30T06:30:00Z,4000,Synthetic sales revenue,0,32400,INR,set_3101_p02,Synthetic balanced journal,ord_3101_p02_05,ent_3101_p02_05,set_3101_p02,UTR3101P02A,synthetic_recon
j_3101_ent_3101_p00_01,l_3101_ent_3101_p00_01_c,2026-08-30T10:30:00Z,4000,Synthetic sales revenue,0,61600,INR,set_3101_p00,Synthetic balanced journal,ord_3101_p00_01,ent_3101_p00_01,set_3101_p00,UTR3101P00A,synthetic_recon
j_3101_ent_3101_p02_03,l_3101_ent_3101_p02_03_c,2026-08-30T06:30:00Z,4000,Synthetic sales revenue,0,33900,INR,set_3101_p02,Synthetic balanced journal,ord_3101_p02_03,ent_3101_p02_03,set_3101_p02,UTR3101P02A,synthetic_recon
j_3101_settle_p03,l_3101_settle_p03_bank,2026-08-31T02:30:00Z,1000,Synthetic bank account,424969,0,INR,set_3101_p03,Synthetic settlement bank posting,,,set_3101_p03,UTR3101P03A,synthetic_settlement
