entity_id,type,debit,credit,amount,currency,fee,tax,on_hold,settled,created_at,settled_at,settlement_id,description,notes,payment_id,settlement_utr,order_id,order_receipt,method,card_network,card_issuer,card_type,dispute_id,channel_type,balance_account_id
ent_3102_p08_07,payment,0,74000,74000,INR,0,0,false,true,2026-08-30T02:30:00Z,2026-08-30T10:30:00Z,set_3102_p08,Synthetic customer payment,,ent_3102_p08_07,,ord_3102_p08_07,receipt_3102_07,card,synthetic_network,synthetic_issuer,debit,,online,ba_01
ent_3102_p06_03,payment,0,68900,68900,INR,0,0,false,true,2026-08-29T22:30:00Z,2026-08-30T06:30:00Z,set_3102_p06,Synthetic customer payment,,ent_3102_p06_03,UTR3102P06A,ord_3102_p06_03,receipt_3102_03,card,synthetic_network,synthetic_issuer,debit,,online,ba_01
ent_3102_p04_10,refund,1250,0,1250,INR,0,0,false,true,2026-08-30T18:30:00Z,2026-08-31T02:30:00Z,set_3102_p04,Synthetic refund movement,,ent_3102_p04_00,UTR3102P04A,,,,,,,,,ba_01
ent_3102_p00_05,payment,0,40600,40600,INR,0,0,false,true,2026-08-30T02:30:00Z,2026-08-30T10:30:00Z,set_3102_p00,Synthetic customer payment,,ent_3102_p00_05,UTR3102P00A,ord_3102_p00_05,receipt_3102_05,card,synthetic_network,synthetic_issuer,debit,,online,ba_01
ent_3102_p11_05,payment,0,70300,70300,INR,0,0,false,true,2026-08-26T08:30:00Z,2026-08-26T16:30:00Z,set_3102_p11,Synthetic customer payment,,ent_3102_p11_05,UTR3102P11A,ord_3102_p11_05,receipt_3102_05,card,synthetic_network,synthetic_issuer,debit,,online,ba_02
ent_3102_p11_02,payment,0,43000,43000,INR,0,0,false,true,2026-08-26T08:30:00Z,2026-08-26T16:30:00Z,set_3102_p11,Synthetic customer payment,,ent_3102_p11_02,UTR3102P11A,ord_3102_p11_02,receipt_3102_02,card,synthetic_network,synthetic_issuer,debit,,online,ba_02
ent_3102_p04_02,payment,0,58600,58600,INR,0,0,false,true,2026-08-30T08:30:00Z,2026-08-30T16:30:00Z,set_3102_p04,Synthetic customer payment,,ent_3102_p04_02,UTR3102P04A,ord_3102_p04_02,receipt_3102_02,card,synthetic_network,synthetic_issuer,debit,,online,ba_01
ent_3102_p02_05,payment,0,71000,71000,INR,0,0,false,true,2026-08-29T22:30:00Z,2026-08-30T06:30:00Z,set_3102_p02,Synthetic customer payment,,ent_3102_p02_05,UTR3102P02A,ord_3102_p02_05,receipt_3102_05,card,synthetic_network,synthetic_issuer,debit,,online,ba_01
ent_3102_p07_00,payment,0,28800,28800,INR,0,0,false,true,2026-08-29T20:30:00Z,2026-08-30T04:30:00Z,set_3102_p07,Synthetic customer payment,,ent_3102_p07_00,UTR3102P07A,ord_3102_p07_00,receipt_3102_00,card,synthetic_network,synthetic_issuer,debit,,online,ba_02
ent_3102_p01_09,adjustment,81,0,81,INR,0,81,false,true,2026-08-30T10:30:00Z,2026-08-30T18:30:00Z,set_3102_p01,Synthetic adjustment movement,,,UTR3102P01A,,,,,,,,,ba_02
